,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF ID,Remote/Onsite,Primary Work Month,Time Zone,Task ID,Company,"Executive 
Sponsor",Project Lead,Project Support,NVA ,Billing/Set Up,Products,Status,Next Steps,Contract Signed,SRA Enabled,SRA Kickoff (SRA),Receive Policies and Procedures/BAA (SRA),Review Policies and Procedures (SRA),Schedule Onsite/Remote Interview (SRA),Go Onsite/Have Interview (SRA),Recieve Requested Follow up Documentation (SRA),Review SRA (SRA),Schedule Final SRA Report (SRA),Present Final SRA Report (SRA),NVA Enabled,NVA Kickoff (NVA),Receive Network Security Platform,Receive Credentials (NVA),Verify Access (NVA),Execute External Scan,Execute Dark Web Scan,Install Nessus,Execute Internal Scan,AdTidy,SpecOps,Nmap Scan,Scans Completed (NVA),Access Removed (NVA),Compile Report (NVA),Schedule Final NVA Report (NVA),Present Final NVA Report (NVA),Total Days,P+P Days,Wrap Up Days,NVA Access,NVA Scans Complete,NVA Wrap Up Days,Kickoff + 30 days,ACD,Disparity,Kickoff + 28 days,ACD,Disparity,
8488,,,,,Etowah Pediatrics,Amanda,Gavin,Gavin,,SRA + NVA (Billed),NA,NA,DONE,NA,,9/30/21,10/12/21,11/8/21,10/12/21,11/10/21,Not Applicable,1/3/21,12/17/21,1/20/22,,10/13/21,10/21/21,NA,NA,Tue 10/26/21,Tue 10/26/21,,,,,,,,Tue 1/3/21,Fri 12/17/21,1/20/2022,81,19,38,,,,10/28/2021,1/20/2022,84,11/10/2021,1/20/2022,71,
8711,,,,,Community Link Consulting,Amanda,Gavin,Rachel,,SRA (Billed),NA,NA,DONE,NA,,12/14/21,1/6/22,1/18/22,1/17/21,1/21/22,Not Applicable,1/28/22,1/24/22,1/28/22,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,34,8,5,,,,1/11/2022,1/28/2022,17,,,,
8459,,,,,MD EMR Systems (Remote),Joe,Gavin,NA,,SRA (Billed),NA,NA,DONE,NA,,1/18/21,NA,NA,1/18/21,1/24/21,Not Applicable,1/28/21,1/24/21,2/1/21,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,11,0,4,,,,2/15/2021,2/1/2021,-14,,,,
8744,,,,,A Healthy Choice Clinic (Remote),Amanda,Gavin,James,,SRA (Billed),NA,NA,DONE,NA,,12/20/21,12/27/21,12/28/21,12/20/21,12/29/21,Not Applicable,12/29/21,1/25/22,2/8/22,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,37,1,1,,,,1/17/2022,2/8/2022,22,,,,
5779,,,,,Weiser (Renewal),Amanda,Amanda,Shane,,SRA + NVA (Billed),NA,NA,DONE,NA,,11/18/21,NA,NA,10/27/21,Thu 12/2-3/21,Not Applicable,12/28/21,12/27/21,12/29/21,,11/18/21,1/12/22,NA,NA,Mon 1/17/22,Wed 1/19/22,,,,,,,,Thu 1/3/22,Mon 1/31/22,2/14/2022,30,0,17,,,,12/16/2021,12/29/2021,13,12/16/2021,2/14/2022,60,
8746,,,,,Valley Family Health Care,Joe,Shane,NA,,NVA for DeliverHealth,NA,NA,DONE,NA,,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,,12/29/21,1/12/22,NA,NA,Wed 1/12/22,Wed 1/26/22,,,,,,,,Thu 2/17/22,Mon 2/14/22,2/17/2022,37,0,0,,,,,,,1/26/2022,2/17/2022,22,
3422,,,,,Frontier (Renewal),Amanda,Amanda,Gavin,,SRA + NVA (Billed),NA,NA,DONE,NA,,1/13/21,NA,NA,1/18/22,2/10/22,Not Applicable,3/1/22,2/22/22,3/1/22,,1/13/21,2/2/22,NA,NA,Wed 2/2/22,Mon 2/7/22,,,,,,,,Tue 3/1/22,Tue 2/22/22,3/1/2022,295,0,13,,,,2/10/2021,3/1/2022,384,2/10/2021,3/1/2022,384,
8752,,,,,NOAH,Joe,Joe,Rachel,,SRA (Billed),NA,NA,DONE,NA,,2/9/22,2/11/22,2/18/22,2/9/22,Tue 2/22-23/22,Not Applicable,3/21/22,3/9/22,3/22/22,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,30,5,18,,,,3/9/2022,3/22/2022,13,,,,
8480,,,,,Community Health Alliance,Amanda,Amanda,James,,SRA (Billed),NA,NA,DONE,NA,,12/17/21,1/3/22,1/7/22,1/14/22,1/27/22,Not Applicable,3/28/22,3/7/22,3/28/22,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,72,16,42,,,,1/14/2022,3/28/2022,73,,,,
5947,,,,,Medication Review (Renewal),Joe,Joe,James,,SRA (Billed),NA,NA,DONE,NA,,3/1/22,NA,NA,3/9/22,3/15/22,Not Applicable,3/31/22,3/24/22,3/31/22,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,23,0,12,,,,3/29/2022,3/31/2022,2,,,,
,,,,,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,6,18,,,,,,61,,,101,
,,,,,Q2 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6067,,,,,Behavioral Health,Joe,Shane,NA,,NVA for True North (Billed),NA,NA,DONE,NA,,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,,3/1/22,3/4/22,NA,NA,Tue 3/8/22,Thu 3/10/22,,,,,,,,Wed 3/30/22,Fri 4/1/22,4/7/2022,27,0,0,,,,,,,3/29/2022,4/7/2022,9,
8728,,,,,"Chiricahua Community Health Centers, Inc.",Joe,Joe,Rachel,,SRA + NVA (Billed),NA,NA,DONE,NA,,2/2/22,2/7/22,2/23/22,2/2/22,Thu 2/24-25/22,Not Applicable,4/13/22,4/12/22,4/14/22,,2/2/22,3/11/22,NA,NA,Fri 3/11/22,Mon 3/21/22,,,,,,,,Wed 4/13/22,Tue 4/12/22,4/14/2022,52,12,33,,,,3/2/2022,4/14/2022,43,3/2/2022,4/14/2022,43,
5794,,,,,The Neurology Center (Renewal) (Remote),Joe,Joe,Shane,,SRA + NVA(True North) (Billed),NA,NA,DONE,NA,,11/17/21,12/6/21,12/12/21,12/13/21,12/15/21,Not Applicable,1/17/22,1/14/22,1/17/22,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,44,5,23,,,,12/15/2021,1/17/2022,33,,,,
3754,,,,,Treasure Valley Family Medicine (Renewal),Joe,Joe,NA,,SRA (Billed),NA,NA,DONE,NA,,NA,NA,NA,NA,4/8/22,Not Applicable,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,0,0,3,,,,,,,,,,
9006,,,,,North Cascade Cancer Center,Joe,Joe,NA,,SRA (Billed),NA,NA,DONE,NA,,4/6/22,NA,NA,4/6/22,4/20/22,Not Applicable,5/24/22,5/19/22,5/25/22,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,36,0,24,,,,5/4/2022,5/25/2022,21,,,,
9054,,,,,Mariposa Community Health Center (Remote),Amanda,Rachel,Rachel,,Policies (Billed),NA,NA,DONE,NA,,5/19/22,NA,NA,5/19/22,5/25/22,Not Applicable,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,4,0,0,,,,,,,,,,
6083,,,,,Tillman Medical Center (Renewal) *TANDEM WITH BJCBR*,Joe,Joe,Rachel,,SRA (Billed),NA,NA,DONE,NA,,4/14/22,NA,NA,4/14/22,5/5/22,Not Applicable,NA,NA,5/31/22,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,34,0,18,,,,5/12/2022,5/31/2022,19,,,,
6081,,,,,Karuna Care Services (Remote) (Renewal),Joe,Joe,NA,,SRA (Billed),NA,NA,DONE,NA,,5/24/22,NA,NA,5/24/22,5/26/22,Not Applicable,NA,NA,5/27/22,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,4,0,1,,,,6/21/2022,5/27/2022,-25,,,,
6076,,,,,Bone & Joint Clinic of Baton Rouge (Renewal),Joe,Joe,Rachel,,SRA + NVA (Billed),NA,NA,DONE,NA,,3/16/22,NA,NA,4/14/22,Tue-Wed 5/3-4/22,Not Applicable,6/6/22,5/24/22,6/6/22,,3/16/22,3/24/22,NA,NA,Thu 3/24/22,Fri 4/1/22,,,,,,,,Tue 4/26/22,Tue 4/12/22,4/26/2022,59,0,23,,,,4/13/2022,6/6/2022,54,4/13/2022,4/26/2022,13,
8891,,,,,New Beginning (Remote),Amanda,Amanda,NA,,SRA (Billed),NA,NA,DONE,NA,,3/21/22,NA,NA,,6/2/22,Not Applicable,6/2/22,5/25/22,6/2/22,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,54,0,1,,,,4/18/2022,6/2/2022,45,,,,
8891,,,,,Creek Valley Health Clinic (Renewal),Amanda,Amanda,NA,,SRA + NVA (Billed),NA,NA,DONE,NA,,4/20/22,NA,NA,4/25/22,5/23/22,Not Applicable,6/3/22,5/25/22,6/3/22,,4/20/22,5/24/22,NA,NA,Tue 5/24/22,Wed 5/25/22,,,,,,,,Fri 6/3/22,Wed 5/25/22,6/3/2022,33,0,9,,,,5/18/2022,6/3/2022,16,5/18/2022,6/3/2022,16,
,,,,,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2,12,,,,,,26,,,20,
,,,,,Q3 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
6119,,,,,Embright LLC (Renewal) (Remote),Amanda,Amanda,Matthew,,SRA + NVA (Billed),NA,NA,DONE,4/19/2022,,5/6/22,NA,NA,Honeymoon,5/25/22,Not Applicable,6/30/22,6/21/22,7/11/22,,5/6/22,6/13/22,NA,NA,Mon 6/13/22,Tue 6/14/22,,,,,,,,,Tue 6/21/22,7/5/2022,47,0,26,,,,6/3/2022,7/11/2022,38,6/3/2022,7/5/2022,32,
9087,,,,,Quadris Team (Remote),Joe,Joe,Matthew,,SRA (Billed),NA,NA,DONE,6/8/2022,,6/13/22,6/23/22,6/28/22,6/29/22,6/30/22,Not Applicable,7/6/22,7/6/22,7/15/22,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,25,3,4,,,,7/11/2022,7/15/2022,4,,,,
3345,,,,,Centennial Medical Group (Renewal),Joe,Joe,NA,,SRA (Billed),NA,NA,DONE,7/11/2022,,7/11/22,NA,NA,NA,Mon-Wed 7/11-13/22,Not Applicable,8/1/22,NA,8/1/22,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,16,0,17,,,,8/8/2022,8/1/2022,-7,,,,
9037,,,,,NeuroMicroSpine (Remote),Amanda,Amanda,Rachel,,SRA (Billed),NA,NA,DONE,4/27/2022,,5/11/22,5/12/22,5/25/22,5/27/22,6/16/22,Not Applicable,8/18/22,8/16/22,8/18/22,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,72,9,45,,,,6/8/2022,8/18/2022,71,,,,
6008,,,,,Keena Healthcare Technology (Remote),Joe,Joe,Matthew,,SRA (Billed),NA,NA,DONE,5/20/2022,,6/7/22,6/7/22,6/16/22,6/20/22,6/29/22,Not Applicable,8/22/22,8/15/22,8/22/22,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,55,7,38,,,,7/5/2022,8/22/2022,48,,,,
3663,,,,,Spokane Urology (Renewal),Amanda,Amanda,Jordan,,SRA (Billed),NA,NA,DONE,7/22/2022,,8/5/22,NA,NA,8/18/22,8/31/22,Not Applicable,9/15/22,9/13/22,9/16/22,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,31,0,12,,,,9/2/2022,9/16/2022,14,,,,
6022,,,,,Prism (Renewal) (two different quotes),Amanda,Amanda,Matthew,,SRA + NVA (Billed),NA,NA,DONE,2/8/2022,,6/17/22,6/27/22,7/8/22,6/20/22,Tue-Wed 7/26-27/22,Not Applicable,9/7/22,8/16/22,9/7/22,,6/17/22,7/11/22,7/28/22,NA,Thu 8/11/22,Wed 8/24/22,,,,,,,,Fri 9/23/22,Wed 9/14/22,9/26/2022,59,9,35,,,,7/15/2022,9/7/2022,54,7/15/2022,9/26/2022,73,
,,,,,Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4,25,,,,,,32,,,53,
,,,,,Q4 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5163,,,,,New Health (Brad does NVA Final Review),Joe,Joe,Matthew,,SRA + NVA (Billed),NA,NA,DONE,6/9/2022,,6/14/22,6/14/22,6/24/22,6/20/22,7/7/22,Not Applicable,9/7/22,8/16/22,9/7/22,,6/14/22,6/22/22,NA,NA,Thu 6/23/22,Mon 9/17/22,,,,,,,,Mon 10/3/22,Tue 9/18/22,10/3/2022,62,8,44,,,,7/12/2022,9/7/2022,57,7/12/2022,10/3/2022,83,
3393,,,,,CCHS (Renewal),Amanda,Amanda,Jordan,,SRA (Billed),NA,NA,DONE,7/26/2022,,8/8/22,NA,NA,8/8/22,Tue 9/6/22 & Mon 9/19/22,Not Applicable,9/30/22,10/5/22,10/10/22,,NA,NA,NA,NA,NA,NA,,,,,,,,NA,NA,NA,54,0,9,,,,9/5/2022,10/10/2022,35,,,,
8488,,,,,Etowah Pediatrics,Joe,Joe,Jordan,,Billed/Set Up,SRA+NVA (Renewal),On Track,DONE,,,,,,,,Not Applicable,NA,NA,NA,,,,,NA,,,,,,,,,,,,,52,1,16,,,,,,,1/27/1900,,-28,
5783,,,,,White Mountain Regional Medical Center (Remote) (Renewal not SRA),Joe/James,Rachel,NA,,NVA (Billed),NA,NA,DONE,5/25/2022,,NA,NA,NA,NA,NA,Not Applicable,NA,NA,NA,,5/27/22,7/5/22,7/26/22,NA,8/11/2022,8/24/2022,8/24/2022,8/24/2022,8/24/2022,8/24/2022,8/24/2022,,,10/20/2022,10/5/2022,10/21/2022,106,NA,42,,,,,,,6/24/2022,10/21/2022,119,
5783,,,,,White Mountain Regional Medical Center,Joe,Joe,Jordan,,Billed/Set Up,SRA (Renewal),On Track,DONE,,,,,,,,Not Applicable,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,26,1,12,,,,,,,,,,
5732,,,,,Summit,Joe,Joe,James,,Billed/Set Up,SRA (Renewal),On Track,DONE,8/17/2022,,8/16/22,NA,NA,9/6/22,9/21/22,Not Applicable,10/25/22,10/25/22,10/25/22,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,50,NA,25,,,,9/13/2022,10/25/2022,42,,,,
3657,,,,,Spokane Digestive,Amanda,Amanda,Jordan,,Billed/Set Up,SRA (Renewal),On Track,DONE,6/23/2022,,NA,9/21/22,9/22/22,6/23/22,10/5/22,Not Applicable,10/20/22,10/14/22,10/25/22,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,89,2,12,,,,,,,,,,
3612,,,,,Quatris,Joe,Joe,Jordan,,Billed/Set Up,SRA (Renewal),On Track,DONE,7/29/2022,,9/13/22,9/16/22,9/27/22,9/27/22,10/14/22,Not Applicable,11/1/22,10/24/22,11/7/22,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,72,8,13,,,,10/11/2022,11/7/2022,27,,,,
8781,,,,,Ko-Kwel Wellness Center,Amanda,Amanda,James,,Billed/Set Up,SRA,On Track,DONE,9/23/2022,,9/29/22,10/11/22,10/13/22,9/29/22,10/19/22,Not Applicable,10/28/22,11/1/22,11/10/22,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,35,3,8,,,,10/27/2022,11/10/2022,14,,,,
5982,,,,,Physician's Clinic,Joe,Joe,Rachel,,Billed/Set Up,SRA (Renewal),On Track,DONE,10/5/2022,,10/11/22,NA,NA,10/11/22,11/8/22,Not Applicable,11/8/22,11/8/22,11/8/22,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,25,NA,1,,,,11/8/2022,11/8/2022,0,,,,
8498,,,,,HOPE Clinic,Joe,Joe,James,,Billed/Set Up,SRA (Renewal),On Track,DONE,10/24/2022,,10/25/22,10/26/22,11/2/22,10/25/22,11/3/22,Not Applicable,11/14/22,11/14/22,11/14/22,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,16,6,8,,,,11/22/2022,11/14/2022,-8,,,,
4816,,,,,Colorado Allergy and Asthma Centers,Joe,Joe,Jordan,,Billed/Set Up,SRA+NVA,On Track,DONE,9/23/2022,,10/4/22,10/7/22,10/12/22,9/29/22,10/19/22,Not Applicable,10/27/22,10/27/22,10/27/22,,10/4/22,10/13/22,10/13/22,NA,11/1/2022,11/2/2022,11/1/2022,11/11/2022,11/1/2022,11/1/2022,11/1/2022,,,11/11/2022,11/22/2022,11/28/2022,25,4,7,,,,11/1/2022,10/27/2022,-5,11/1/2022,11/28/2022,27,
5807,,,,,Clinica Hispana,Joe,Joe,Rachel,,Billed/Set Up,SRA (Renewal),On Track,DONE,9/16/2022,,9/16/22,10/18/22,10/19/22,9/27/22,11/7/22,Not Applicable,12/1/22,12/1/22,12/1/22,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,55,2,19,,,,10/14/2022,12/1/2022,48,,,,
